,text,time,location,source,like_count,quote_count,reply_count,retweet_count,lang,split_text
1372,manipul ai 365 day year sinc social media went public like prior peopl contr httpstcodnf0fzqdti,2022-05-19,,Twitter for iPhone,2,0,0,1,en,"['manipul', 'ai', '365', 'day', 'year', 'sinc', 'social', 'media', 'went', 'public', 'like', 'prior', 'peopl', 'contr', 'httpstcodnf0fzqdti']"
1373,great see ramp analyst get distract elon acquisit,2022-05-19,"Oregon, USA",Twitter for iPhone,1,0,0,0,en,"['great', 'see', 'ramp', 'analyst', 'get', 'distract', 'elon', 'acquisit']"
1374,thing idea massiv tool regard ye httpstcoanstgooruu,2022-05-19,,Twitter Web App,0,0,0,0,en,"['thing', 'idea', 'massiv', 'tool', 'regard', 'ye', 'httpstcoanstgooruu']"
1375,expos fire employeesreplac former leo insur post violat lawsmerg,2022-05-19,"Seattle, WA",Twitter Web App,0,0,0,0,en,"['expos', 'fire', 'employeesreplac', 'former', 'leo', 'insur', 'post', 'violat', 'lawsmerg']"
1376,oh make insan stop tsla httpstcooepmmcifqu,2022-05-19,USA,Twitter Web App,0,0,0,0,en,"['oh', 'make', 'insan', 'stop', 'tsla', 'httpstcooepmmcifqu']"
1377,anyon insight invest httpstcozgdehdpit,2022-05-19,upstate NY,Twitter for iPhone,0,0,0,0,en,"['anyon', 'insight', 'invest', 'httpstcozgdehdpit']"
1378,interest h r h princ alwale bin saud major sharehold bought 490000 share us1995770000 httpstcop7jn5xr4yb,2022-05-19,"Florida, USA",Twitter Web App,1,0,0,0,en,"['interest', 'h', 'r', 'h', 'princ', 'alwale', 'bin', 'saud', 'major', 'sharehold', 'bought', '490000', 'share', 'us1995770000', 'httpstcop7jn5xr4yb']"
1379,httpstcotxk1pgvqp2 pleas donat quot idrissa forjusticeelitebhel shah helpi,2022-05-19,Egypt,Twitter for iPhone,0,0,0,0,en,"['httpstcotxk1pgvqp2', 'pleas', 'donat', 'quot', 'idrissa', 'forjusticeelitebhel', 'shah', 'helpi']"
1380,go attempt buy 1 sh common stock close pend buy power,2022-05-19,California res./Arizona dom.,Twitter Web App,0,0,0,0,en,"['go', 'attempt', 'buy', '1', 'sh', 'common', 'stock', 'close', 'pend', 'buy', 'power']"
1381,refer greater stock market way today close wa httpstcod9dsbbz9ja,2022-05-19,Corvallis Oregon,Twitter Web App,0,0,1,0,en,"['refer', 'greater', 'stock', 'market', 'way', 'today', 'close', 'wa', 'httpstcod9dsbbz9ja']"
1382,lol congrat buy 95 bot 44 billion muskbuytwitt,2022-05-19,,TweetDeck,0,0,0,0,en,"['lol', 'congrat', 'buy', '95', 'bot', '44', 'billion', 'muskbuytwitt']"
1383,care less whole fiasco go commennt ne httpstco2d5yhnzrgb,2022-05-19,"Detroit, MI",TweetDeck,0,0,0,0,en,"['care', 'less', 'whole', 'fiasco', 'go', 'commennt', 'ne', 'httpstco2d5yhnzrgb']"
1384,check analysi httpstcolzfems24ot,2022-05-19,CO + CA,Twitter Web App,0,0,0,0,en,"['check', 'analysi', 'httpstcolzfems24ot']"
1385,epic absolut love og big pimpin mac daddi httpstcosstqsyettf,2022-05-19,"Dover, OH",Twitter for iPhone,0,0,0,0,en,"['epic', 'absolut', 'love', 'og', 'big', 'pimpin', 'mac', 'daddi', 'httpstcosstqsyettf']"
1386,epic absolut love og big pimpin mac daddi httpstcogsowxv77di httpstcosstqsyettf,2022-05-19,Las Vegas,Twitter for Android,7,0,1,1,en,"['epic', 'absolut', 'love', 'og', 'big', 'pimpin', 'mac', 'daddi', 'httpstcogsowxv77di', 'httpstcosstqsyettf']"
1387,think 45 fair invest 2022 httpstcowmexaeojci,2022-05-19,upstate NY,Twitter for iPhone,0,0,0,0,en,"['think', '45', 'fair', 'invest', '2022', 'httpstcowmexaeojci']"
1388,much option worth invest httpstcoti8npylyp8,2022-05-19,upstate NY,Twitter for iPhone,0,0,0,0,en,"['much', 'option', 'worth', 'invest', 'httpstcoti8npylyp8']"
1389,elon chess move day think legit hope break avoid pay httpstcovqgiowid1j,2022-05-19,At my desk,Twitter Web App,0,0,0,0,en,"['elon', 'chess', 'move', 'day', 'think', 'legit', 'hope', 'break', 'avoid', 'pay', 'httpstcovqgiowid1j']"
1390,repli like listen answer what day tomorrow psych ward httpstco52oqcuehe,2022-05-19,,Twitter Web App,0,0,0,0,en,"['repli', 'like', 'listen', 'answer', 'what', 'day', 'tomorrow', 'psych', 'ward', 'httpstco52oqcuehe']"
1392,stop talk friend jack dorsey life would easier million peopl includ,2022-05-19,,Twitter Web App,0,0,0,0,en,"['stop', 'talk', 'friend', 'jack', 'dorsey', 'life', 'would', 'easier', 'million', 'peopl', 'includ']"
1393,know 95 facebook user robot fake account think wont realiz except buyi httpstcoq4n2iuhzj5,2022-05-19,"Alexandria, Egypt",Twitter for Android,0,0,0,0,en,"['know', '95', 'facebook', 'user', 'robot', 'fake', 'account', 'think', 'wont', 'realiz', 'except', 'buyi', 'httpstcoq4n2iuhzj5']"
1394,musk net worth gone 5 billion purchas price sinc deal announc co httpstcol37j7us68h,2022-05-19,,Twitter for iPhone,0,0,0,0,en,"['musk', 'net', 'worth', 'gone', '5', 'billion', 'purchas', 'price', 'sinc', 'deal', 'announc', 'co', 'httpstcol37j7us68h']"
1395,fuck touch think wave2022,2022-05-19,"The Wild, Wild West",Twitter for Android,0,0,0,0,en,"['fuck', 'touch', 'think', 'wave2022']"
1396,wonder would happen stock price simpli pay 1b walk away let grab lol httpstcoy6mnxuyesi,2022-05-19,,Twitter for Android,0,0,0,0,en,"['wonder', 'would', 'happen', 'stock', 'price', 'simpli', 'pay', '1b', 'walk', 'away', 'let', 'grab', 'lol', 'httpstcoy6mnxuyesi']"
1397,knew tweet tag could get follow engag urg use app brew httpstcocve5bv6gqn,2022-05-19,,Twitter for iPhone,0,0,0,0,en,"['knew', 'tweet', 'tag', 'could', 'get', 'follow', 'engag', 'urg', 'use', 'app', 'brew', 'httpstcocve5bv6gqn']"
